Code,CommonName,Class,Order,Family,Genus,Species,Subspecies,Species2,Extant,Native,Marine,Yellow,Blue,Red,CDCode,ABCode,Ktunaxa
NSC,Northern Pikeminnow,Actinopterygii,Cypriniformes,Cyprinidae,Ptychocheilus,oregonensis,NA,NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,F-PTOR,NRSQ,NA
LNC,Longnose Dace,Actinopterygii,Cypriniformes,Cyprinidae,Rhinichthys,cataractae,NA,NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,F-RHCA,LNDC,NA
NDC,Nooksack Dace,Actinopterygii,Cypriniformes,Cyprinidae,Rhinichthys,cataractae,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,F-RHCA-CH,NA,NA
LDC,Leopard Dace,Actinopterygii,Cypriniformes,Cyprinidae,Rhinichthys,falcatus,NA,NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,F-RHFA,NA,NA
SDC,Speckled Dace,Actinopterygii,Cypriniformes,Cyprinidae,Rhinichthys,osculus,NA,NA,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,F-RHOS,NA,NA
UDC,Umatilla Dace,Actinopterygii,Cypriniformes,Cyprinidae,Rhinichthys,umatilla,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,F-RHUM,NA,NA
RSC,Redside Shiner,Actinopterygii,Cypriniformes,Cyprinidae,Richardsonius,balteatus,NA,NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,F-RIBA,RDSH,NA
TC,Tench,Actinopterygii,Cypriniformes,Cyprinidae,Tinca,tinca,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,F-TITI,NA,NA
GAM,Mosquitofish,Actinopterygii,Cyprinodontiformes,Poeciliidae,Gambusia,affinis,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
NP,Northern Pike,Actinopterygii,Esociformes,Esocidae,Esox,lucius,NA,NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,F-ESLU,NRPK,NA
TMP,Tiger Muskellunge,Actinopterygii,Esociformes,Esocidae,Esox,lucius,NA,masquinongy,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA
BB,Burbot,Actinopterygii,Gadiformes,Gadidae,Lota,lota,NA,NA,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,F-LOLO,BURB,NA
SB,Stickleback (General),Actinopterygii,Gasterosteiformes,Gasterosteidae,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,NA,NA,NA
BSB,Brook Stickleback,Actinopterygii,Gasterosteiformes,Gasterosteidae,Culaea,inconstans,NA,NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,F-CUIN,BRST,NA
SB3,Charlotte Unarmoured Threespine Stickleback,Actinopterygii,Gasterosteiformes,Gasterosteidae,Gasterosteus,aculeatus,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,F-GAAC-01,NA,NA
TSB,Threespine Stickleback,Actinopterygii,Gasterosteiformes,Gasterosteidae,Gasterosteus,aculeatus,NA,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,F-GAAC,THST,NA
CSB,Unarmoured Stickleback,Actinopterygii,Gasterosteiformes,Gasterosteidae,Gasterosteus,sp,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
SB1,Balkwill Lake Benthic Stickleback,Actinopterygii,Gasterosteiformes,Gasterosteidae,Gasterosteus,sp,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
