Code,CommonName,Class,Order,Family,Genus,Species,Subspecies,Species2,Extant,Native,Marine,Yellow,Blue,Red,CDCode,ABCode,Ktunaxa
CAS,Prickly Sculpin,Actinopterygii,Scorpaeniformes,Cottidae,Cottus,asper,NA,NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,F-COAS,PRSC,NA
CBA,Mottled Sculpin,Actinopterygii,Scorpaeniformes,Cottidae,Cottus,bairdi,NA,NA,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA
CMM,Malheur Mottled Sculpin,Actinopterygii,Scorpaeniformes,Cottidae,Cottus,bendirei,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
CCG,Slimy Sculpin,Actinopterygii,Scorpaeniformes,Cottidae,Cottus,cognatus,NA,NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,F-COCO,SLSC,NA
CCN,Shorthead Sculpin,Actinopterygii,Scorpaeniformes,Cottidae,Cottus,confusus,NA,NA,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,F-COCN,NA,NA
CCH,Columbia Sculpin,Actinopterygii,Scorpaeniformes,Cottidae,Cottus,hubbsi,NA,NA,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,F-COHU,NA,NA
CRH,Torrent Sculpin,Actinopterygii,Scorpaeniformes,Cottidae,Cottus,rhotheus,NA,NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,F-CORH,NA,NA
CRI,Spoonhead Sculpin,Actinopterygii,Scorpaeniformes,Cottidae,Cottus,ricei,NA,NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,F-CORI,SPSC,NA
CRM,Rocky Mountain Sculpin,Actinopterygii,Scorpaeniformes,Cottidae,Cottus,sp. 9,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,F-COSP-04,RMSC,NA
CLA,Staghorn Sculpin,Actinopterygii,Scorpaeniformes,Cottidae,Leptocottus,armatus,NA,NA,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,F-LEAR,NA,NA
CMT,Deepwater Sculpin,Actinopterygii,Scorpaeniformes,Cottidae,Myoxocephalus,thompsoni,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
BH,Bullhead (General),Actinopterygii,Siluriformes,Ictaluridae,Ameiurus,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
BKH,Black Bullhead,Actinopterygii,Siluriformes,Ictaluridae,Ameiurus,melas,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,F-AMME,NA,NA
YB,Yellow Bullhead,Actinopterygii,Siluriformes,Ictaluridae,Ameiurus,natalis,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,F-ICNA,NA,NA
BNH,Brown Bullhead,Actinopterygii,Siluriformes,Ictaluridae,Ameiurus,nebulosus,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,F-AMNE,NA,NA
L,Lamprey (General),Petromyzontida,Petromyzontiformes,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,NA,NA,NA
RL,River Lamprey,Petromyzontida,Petromyzontiformes,Petromyzontidae,Lampetra,ayresii,NA,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,F-LAAY,NA,NA
LL,Cowichan Lake Lamprey,Petromyzontida,Petromyzontiformes,Petromyzontidae,Lampetra,macrostoma,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,F-ENMA,NA,NA
BL,Western Brook Lamprey,Petromyzontida,Petromyzontiformes,Petromyzontidae,Lampetra,richardsoni,NA,NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,F-LARC,NA,NA
MCL,Morrison Creek Lamprey,Petromyzontida,Petromyzontiformes,Petromyzontidae,Lampetra,richardsoni,marifaga,NA,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,F-LARC-01,NA,NA
AL,Arctic Lamprey,Petromyzontida,Petromyzontiformes,Petromyzontidae,Lampetra,sp,NA,NA,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA
PL,Pacific Lamprey,Petromyzontida,Petromyzontiformes,Petromyzontidae,Lampetra,tridentata,NA,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,F-ENTR,NA,NA
