Species Code,Prov Status Change Date,COSEWIC Comments,Ecosection,Prov Wildlife Act,GOERT,MBCA,SARA Comments,General Status Canada,CITES,Name Category,Class (English),Species Level,Kingdom,Phylum,Class,Order,Family,Forest Dist,MOE Region,Regional Dist,Municipality,BGC,Habitat Subtype,Origin,Presence,Breeding Bird,Ecosystem Group,Endemic,CDC Maps,Mapping Status,Element Code
F-BRFR,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Embiotocidae,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFCQK04010
F-BRJA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Bramidae,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFCRH01040
F-BRMA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Ophidiiformes,Bythitidae,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFCME01010
F-BRMR,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Stichaeidae,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFCSC06020
F-CAAU,20-Jan-03,NA,NA,NA,NA,NA,NA,7 - Exotic (2005),NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Cypriniformes,Cyprinidae,NA,1;2;3;4;7;8,NA,NA,BG;CDF;CWH;IDF;SBS,NA,Exotic,Regularly occurring,NA,NA,N,N,NA,AFCJB04010
F-CACA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,cartilaginous fishes,Species,Animalia,Craniata,Chondrichthyes,Lamniformes,Lamnidae,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFDDE01010
F-CACY,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Liparidae,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFC4G09150
F-CAGI,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Liparidae,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFC4G09070
F-CAME,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Liparidae,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFC4G09020
F-CAOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Liparidae,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFC4G09120
F-CAOV,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Liparidae,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFC4G09130
F-CAMC,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Caristiidae,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFCQ101010
F-CACT,31-Jan-92,NA,NA,NA,NA,NA,NA,4 - Secure (2005),NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Cypriniformes,Catostomidae,NA,2;3;4;5;6;7;8;9,NA,NA,BG;BWBS;CDF;CWH;ESSF;ICH;IDF;MH;MS;PP;SBPS;SBS;SWB,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFCJC02030
F-CACO,20-Jan-03,NA,NA,NA,NA,NA,NA,4 - Secure (2005),NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Cypriniformes,Catostomidae,NA,2;3;4;5;6;7;8,NA,NA,BG;CDF;CWH;ESSF;ICH;IDF;MS;PP;SBPS;SBS,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFCJC02050
F-CACM,31-Jan-92,NA,NA,NA,NA,NA,NA,4 - Secure (2005),NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Cypriniformes,Catostomidae,NA,3;5;6;7;9,NA,NA,BG;BWBS;CDF;CWH;ESSF;ICH;IDF;PP;SBPS;SBS;SWB,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFCJC02060
F-CAMA,31-Jan-92,NA,NA,NA,NA,NA,NA,4 - Secure (2005),NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Cypriniformes,Catostomidae,NA,2;3;4;5;6;7;8;9,NA,NA,BG;BWBS;CDF;CWH;ESSF;ICH;IDF;MH;MS;PP;SBPS;SBS;SWB,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFCJC02130
F-CAPL,15-May-19,NA,NA,NA,NA,NA,NA,4 - Secure (2005),NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Cypriniformes,Catostomidae,DAB;DCK;DCO;DCS;DKA;DOS,2;3;4;8,CKRD;TNRD;OSRD;FVRD,Hope;Kent;Mission;Chilliwack;Abbotsford;Kamloops;Princeton;Keremeos,BG;CWH;IDF;PP,NA,Native,Regularly occurring,NA,NA,N,Y,NA,AFCJC02160
F-CASP-04,15-May-19,NA,NA,NA,NA,NA,NA,1 - At Risk (2000),NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Cypriniformes,Catostomidae,DCK,2,MVRD;FVRD,Hope;Harrison Hot Springs;Kent;Mission;Pitt Meadows;Chilliwack;Langley (District);Abbotsford;Surrey;Maple Ridge,CWH,NA,Native,Regularly occurring,NA,NA,N,Y,NA,AFCJC02260
F-CAPR,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Malacanthidae,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFCRE01050
F-CEHO,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Lophiiformes,Ceratiidae,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFCYE02010
F-CETO,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Myctophiformes,Myctophidae,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFCVH01010
F-CEMA,NA,NA,NA,NA,NA,NA,NA,NA,II,Vertebrate Animal,cartilaginous fishes,Species,Animalia,Craniata,Chondrichthyes,Lamniformes,Cetorhinidae,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFDDD01010
F-CHME,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Lophiiformes,Oneirodidae,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFCYH01010
F-CHMA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Stomiiformes,Stomiidae,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFC7B01010
F-CHVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Agonidae,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFC4F09030
F-CHDE,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Stichaeidae,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFCSC08020
F-CHNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Stichaeidae,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFCSC08030
F-CHTA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Stichaeidae,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFCSC08040
F-CHPU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Cottidae,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFC4E27010
F-CHEO,16-May-19,NA,NA,NA,NA,NA,NA,4 - Secure (2005),NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Cypriniformes,Cyprinidae,DFN;DPC,9,PRRD;NRRD,Northern Rockies;Taylor;Chetwynd;Hudsons Hope;Fort St. John;Tumbler Ridge,BWBS;CWH;ICH;IDF;MS;SBPS;SBS,NA,Native,Regularly occurring,NA,NA,N,Y,NA,AFCJB31020
F-CHEOxCHNE,15-May-19,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Cypriniformes,Cyprinidae,DFN;DPC,9,PRRD;NRRD,Northern Rockies;Taylor;Hudsons Hope;Fort St. John;Tumbler Ridge,BWBS,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFCJB31X10
F-CHNE,15-May-19,NA,NA,NA,NA,NA,NA,4 - Secure (2005),NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Cypriniformes,Cyprinidae,NA,9,NA,NA,BWBS;ESSF;SBS,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFCJB31040
F-CISO,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Pleuronectiformes,Paralichthyidae,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFCTA01080
F-CIST,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Pleuronectiformes,Paralichthyidae,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFCTA01090
F-CLIO,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Gobiidae,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFCQN03010
F-CLAS,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Pleuronectiformes,Pleuronectidae,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFCTB23010
F-CLAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Cottidae,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFC4E01010
F-CLEM,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Cottidae,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFC4E01030
F-CLGL,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Cottidae,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFC4E01040
F-CLPA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Clupeiformes,Clupeidae,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFCFA07030
F-COSA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Beloniformes,Scomberesocidae,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFCNF01010
F-COAR,10-May-10,NA,NA,NA,NA,NA,NA,4 - Secure (2005),NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Salmoniformes,Salmonidae,DFN,9,NRRD,Northern Rockies,BWBS,NA,Native,Regularly occurring,NA,NA,N,Y,NA,AFCHA01020
F-COAU,10-May-10,NA,NA,NA,NA,NA,NA,3 - Sensitive (2005),NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Salmoniformes,Salmonidae,DFN,9,NRRD,Northern Rockies,BWBS,NA,Native,Regularly occurring,NA,NA,N,Y,NA,AFCHA01030
F-COCL,20-Jan-03,NA,NA,NA,NA,NA,NA,4 - Secure (2005),NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Salmoniformes,Salmonidae,NA,2;3;4;5;6;7;8;9,NA,NA,BG;BWBS;CWH;ESSF;ICH;IDF;MS;PP;SBPS;SBS;SWB,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFCHA01040
F-CONA,15-May-19,NA,NA,NA,NA,NA,NA,4 - Secure (2005),NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Salmoniformes,Salmonidae,DSS_C,6,SKRD,NA,BWBS,NA,Native,Regularly occurring,NA,NA,N,Y,NA,AFCHA01090
F-COSR,10-May-10,NA,NA,NA,NA,NA,NA,4 - Secure (2005),NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Salmoniformes,Salmonidae,DFN;DKA;DKM;DSS_C,6;9,SKRD;NRRD,Northern Rockies,BWBS,NA,Native,Regularly occurring,NA,NA,N,Y,NA,AFCHA01130
F-COAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Gadiformes,Macrouridae,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFCMC06010
F-COAM,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Gadiformes,Macrouridae,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFCMC06020
F-COCI,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Gadiformes,Macrouridae,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFCMC06030
F-COFI,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Gadiformes,Macrouridae,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFCMC06040
F-COLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Gadiformes,Macrouridae,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFCMC06050
F-COYA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Gadiformes,Macrouridae,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFCMC06080
F-COAL,11-May-10,NA,NA,NA,NA,NA,Cottus ssp. 2 (Cultus  Pygmy Sculpin),4 - Secure (2003),NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Cottidae,NA,1;2;3;5;6,NA,NA,BWBS;CDF;CWH;ESSF;ICH;IDF;IMA;MH;SBS,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFC4E02010
F-COSP-02,11-May-10,NA,NA,NA,NA,NA,NA,1 - At Risk (2000),NA,Vertebrate Animal,ray-finned fishes,Population,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Cottidae,DCK,2,FVRD,NA,CWH,NA,Native,Regularly occurring,NA,NA,Y,Y,NA,AFC4E02270
F-COAS,31-Jan-92,NA,NA,NA,NA,NA,NA,4 - Secure (2005),NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Cottidae,NA,1;2;3;4;5;6;7;8;9,NA,NA,BG;BWBS;CDF;CWH;ESSF;ICH;IDF;MH;MS;PP;SBPS;SBS;SWB,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFC4E02020
F-COCO,11-May-92,NA,NA,NA,NA,NA,NA,4 - Secure (2005),NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Cottidae,NA,2;3;4;5;6;7;8;9,NA,NA,BAFA;BG;BWBS;CDF;CWH;ESSF;ICH;IDF;MS;PP;SBPS;SBS;SWB,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFC4E02080
F-COCN,15-May-19,NA,NA,NA,NA,NA,NA,1 - At Risk (2005),NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Cottidae,DAB;DCO,4;8,CKRD;KBRD,Castlegar;Slocan;Trail;Montrose,ICH;IDF,NA,Native,Regularly occurring,NA,NA,N,Y,NA,AFC4E02090
F-COHU,09-May-01,NA,NA,NA,NA,NA,NA,3 - Sensitive (2005),NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Cottidae,DAB;DCS;DKL;DOS,3;4;8,CKRD;TNRD;CORD;KBRD;OSRD,Castlegar;Slocan;Fruitvale;Princeton;Trail;Rossland;Montrose;Keremeos,BG;ICH;IDF;PP,NA,Native,Regularly occurring,NA,NA,N,Y,NA,AFC4E02053
F-CORH,15-May-19,NA,NA,NA,NA,NA,NA,4 - Secure (2005),NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Cottidae,NA,3;4;8,NA,NA,BG;ESSF;ICH;IDF;MS;PP,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFC4E02220
F-CORI,20-Jan-03,NA,NA,NA,NA,NA,NA,4 - Secure (2005),NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Cottidae,NA,9,NA,NA,BWBS;IDF;SBS;SWB,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFC4E02230
F-COSP-04,15-May-19,NA,NA,NA,NA,NA,NA,4 - Secure (2000),NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Cottidae,DRM,4,EKRD,NA,NA,NA,Native,Regularly occurring,NA,NA,N,Y,NA,AFC4E02380
F-COPL,31-Jan-92,Northern British Columbia Hotsprings population only.,NA,NA,NA,NA,NA,4 - Secure (2005),NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Cypriniformes,Cyprinidae,NA,2;3;4;5;6;7;8;9,NA,NA,BG;BWBS;CDF;CWH;ESSF;ICH;IDF;MH;MS;PP;SBPS;SBS;SWB,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFCJB06010
F-COPL-02,15-May-19,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Population,Animalia,Craniata,Actinopterygii,Cypriniformes,Cyprinidae,DFN,9,NA,NA,BWBS,NA,Native,Regularly occurring,NA,NA,Y,Y,NA,AFCJB06012
F-COPL-03,15-May-19,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Population,Animalia,Craniata,Actinopterygii,Cypriniformes,Cyprinidae,DSS,6,SKRD,NA,BWBS;SWB,NA,Native,Regularly occurring,NA,NA,Y,NA,NA,AFCJB06013
F-CRAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Cryptacanthodidae,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFCSF01020
F-CRGI,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Cryptacanthodidae,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFCSF01030
F-CUIN,04-Nov-00,NA,NA,NA,NA,NA,NA,4 - Secure (2005),NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Gasterosteiformes,Gasterosteidae,NA,9,NA,NA,BWBS;CWH;SBS;SWB,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFCPA02010
F-CYAT,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Stomiiformes,Gonostomatidae,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFC7A01020
F-CYPA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Stomiiformes,Gonostomatidae,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFC7A01030
F-CYPS,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Stomiiformes,Gonostomatidae,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFC7A01040
F-CYSI,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Stomiiformes,Gonostomatidae,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFC7A01050
F-CYAG,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Embiotocidae,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFCQK01010
F-CYCA,20-Jan-03,NA,NA,NA,NA,NA,NA,7 - Exotic (2005),NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Cypriniformes,Cyprinidae,NA,1;2;3;4;8,NA,NA,BG;BWBS;CDF;CWH;ICH;IDF;PP;SBS,NA,Exotic,Regularly occurring,NA,NA,N,N,NA,AFCJB08010
F-DAOC,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Stomiiformes,Sternoptychidae,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFC7D03010
F-DASE,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Psychrolutidae,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFC4E28010
F-DEAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Zoarcidae,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFCS812010
F-DITH,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Myctophiformes,Myctophidae,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFCVH02010
F-ELCA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Liparidae,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFC4G10070
F-EMBA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Pleuronectiformes,Pleuronectidae,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFCTB03010
F-EMLA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Embiotocidae,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFCQK05020
F-ENMO,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Clupeiformes,Engraulidae,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFCFB04020
F-ENBI,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Cottidae,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFC4E29010
F-ENLU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Cottidae,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFC4E29030
F-ENMA,15-May-19,NA,NA,NA,NA,NA,NA,1 - At Risk (2005),NA,Vertebrate Animal,Lampreys,Species,Animalia,Craniata,Petromyzontida,Petromyzontiformes,Petromyzontidae,DCR;DNI;DSI,1,CVRD,Lake Cowichan,CWH,NA,Native,Regularly occurring,NA,NA,Y,Y,NA,AFBAA02120
F-ENTR,11-May-10,NA,NA,NA,NA,NA,NA,4 - Secure (2005),NA,Vertebrate Animal,Lampreys,Species,Animalia,Craniata,Petromyzontida,Petromyzontiformes,Petromyzontidae,NA,1;2;3;5;6;7,NA,NA,BG;CDF;CWH;ICH;IDF;PP;SBS,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFBAA02100
F-EOJO,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Pleuronectiformes,Pleuronectidae,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFCTB04010
F-EPDE,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,hagfishes,Species,Animalia,Craniata,Myxini,Myxiniformes,Myxinidae,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFABA01010
F-EPST,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,hagfishes,Species,Animalia,Craniata,Myxini,Myxiniformes,Myxinidae,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFABA01020
