Scientific Name,Scientific Name Synonyms,English Name,English Name Synonyms,Species Code,Element Code,Global Status,Global Status Review Date,Prov Status,Prov Status Review Date,Prov Status Change Date,COSEWIC,COSEWIC Comments,BC List,Provincial FRPA,Land Use Objectives,Ecosection,Prov Wildlife Act,GOERT,MBCA,SARA,SARA Comments,General Status Canada,CITES,Name Category,Class (English),Species Level,Kingdom,Phylum,Class,Order,Family,Forest Dist,MOE Region,Regional Dist,Municipality,BGC,Habitat Subtype,Origin,Presence,Breeding Bird,Ecosystem Group,Endemic,CDC Maps,Mapping Status
Acantholiparis caecus,,Fanged Snailfish,,F-ACCA,AFC4G21020,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Liparidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Acantholiparis opercularis,,Spiny Snailfish,,F-ACOP,AFC4G21010,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Liparidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Acipenser medirostris,,Green Sturgeon,,F-ACME,AFCAA01030,G3,04-Jan-04,S2S3N,15-May-19,15-May-19,SC (Nov 2013), ,Blue, ,, ,,,,1-SC (Aug 2006),,2 - May be at risk (2005),,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Acipenseriformes,Acipenseridae,DCK;DNC;DSQ;DSS_C,1;2;5;6,MVRD;STRD;SLRD;MWRD;CCRD;SQCRD;KSRD;SKRD,Delta;Ucluelet;Stewart;Tofino;Lake Cowichan;Sayward;Victoria;Hope;Massett;Harrison Hot Springs;Anmore;Port Moody;Highlands;Terrace;Richmond;Port Hardy;Alert Bay;Port McNeill;Port Alice;Kent;Zeballos;Tahsis;Lions Bay;Gibsons;Mission;Sooke;Bowen Island;Central Saanich;Lantzville;Queen Charlotte (Village);Sechelt (Indian Government);Pitt Meadows;Port Coquitlam;Chilliwack;Oak Bay;Qualicum Beach;Langley (District);Abbotsford;Surrey;White Rock;Comox;Colwood;Squamish;North Saanich;Sidney;Metchosin;Vancouver;Parksville;Campbell River;Courtenay;Powell River;Sechelt;North Vancouver (District);North Vancouver (City);Burnaby;Esquimalt;Port Alberni;New Westminster;Saanich;Ladysmith;Nanaimo;Prince Rupert;Coquitlam;West Vancouver;Port Edward;Maple Ridge;Belcarra;Kitimat;Gold River,CDF;CWH,Kelp Bed;Intertidal Marine;Subtidal Marine;Marine Island;Reefs;Eelgrass Beds;Sheltered Waters - Marine;Pelagic,Native,Regularly occurring,, ,N,N,"Non-breeder that has very sporadic records, thus distinct occurrences cannot be mapped."
Acipenser transmontanus,,White Sturgeon,,F-ACTR,AFCAA01050,G4,12-Nov-02,S2,27-Apr-18,10-Nov-94,E/T (Nov 2012),"COSEWIC status is applied at the population level. Populations 1, 2 and 5 are E and population 4 is T.",No Status, ,, ,,,,,"Partial. Columbia River, Nechako River, Kootenay River and Upper Fraser River populations on Schedule 1 (2006-08-15). Lower and Middle Fraser River populations on Schedule 3 (2005-03-01).",1 - At Risk (2005),II,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Acipenseriformes,Acipenseridae,DAB;DCC;DCK;DCO;DCS;DHW;DJA;DKA;DKL;DMH;DPG;DQU;DVA,2;3;4;5;6;7,MVRD;CKRD;SLRD;TNRD;CSRD;CBRD;KBRD;BNRD;FFRD;FVRD, ,BG;CDF;CWH;ICH;IDF;MS;PP;SBS,Estuary;Kelp Bed;Stream/River;Lake;Intertidal Marine;Subtidal Marine;Marine Island;Pond/Open Water;Reefs;Eelgrass Beds;Sheltered Waters - Marine;Pelagic,Native,Regularly occurring,, ,N,N,
Acipenser transmontanus pop. 1,,White Sturgeon (Upper Kootenay River Population),,F-ACTR-01,AFCAA01051,G4T1Q,17-Feb-06,S1,24-Apr-18,22-Nov-93,E (Nov 2012), ,Red, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Population,Animalia,Craniata,Actinopterygii,Acipenseriformes,Acipenseridae,DKL,4,CKRD,Kaslo;Nelson,ICH,Stream/River,Native,Regularly occurring,, ,N,Y,
Acipenser transmontanus pop. 2,,White Sturgeon (Upper Columbia River Population),,F-ACTR-02,AFCAA01052,G4T3T4,29-Jan-03,S1,24-Apr-18,01-Dec-94,E (Nov 2012), ,Red, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Population,Animalia,Craniata,Actinopterygii,Acipenseriformes,Acipenseridae,DAB;DCO,4,CKRD;CSRD;KBRD,Castlegar;Nakusp;Slocan;New Denver;Silverton;Revelstoke;Golden;Trail,ICH,Stream/River;Lake;Pond/Open Water,Native,Regularly occurring,, ,N,Y,
Acipenser transmontanus pop. 4,,White Sturgeon (Lower Fraser River Population),,F-ACTR-04,AFCAA01054,G4T2,20-Mar-02,S1S2,24-Apr-18,24-Apr-18,T (Nov 2012), ,Red, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Population,Animalia,Craniata,Actinopterygii,Acipenseriformes,Acipenseridae,DCK;DCS,2;3,MVRD;FVRD,Delta;Hope;Harrison Hot Springs;Anmore;Port Moody;Richmond;Kent;Lions Bay;Mission;Bowen Island;Pitt Meadows;Port Coquitlam;Chilliwack;Langley (District);Abbotsford;Surrey;White Rock;Vancouver;North Vancouver (District);North Vancouver (City);Burnaby;New Westminster;Coquitlam;West Vancouver;Maple Ridge;Belcarra,CDF;CWH;IDF,Kelp Bed;Stream/River;Intertidal Marine;Subtidal Marine;Marine Island;Reefs;Eelgrass Beds;Sheltered Waters - Marine;Pelagic,Native,Regularly occurring,, ,Y,Y,
Acipenser transmontanus pop. 5,,White Sturgeon (Upper Fraser River Population),,F-ACTR-05,AFCAA01055,G4T1,05-Oct-01,S2,19-Apr-18,04-Jun-18,E (Nov 2012), ,Red, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Population,Animalia,Craniata,Actinopterygii,Acipenseriformes,Acipenseridae,DHW;DPG,7,FFRD,McBride;Prince George,ICH;SBS,Stream/River;Lake;Pond/Open Water,Native,Regularly occurring,, ,Y,Y,
Acrocheilus alutaceus,,Chiselmouth,,F-ACAL,AFCJB01010,G5,12-Oct-11,S4,15-May-19,15-May-19,NAR (May 2003), ,Yellow, ,, ,,,,,,4 - Secure (2005),,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Cypriniformes,Cyprinidae,DAB;DCC;DCH;DCK;DCO;DCS;DKA;DMH;DNI;DOS;DQU;DRM;DSS_C,3;4;5;7;8,EKRD;CKRD;TNRD;CORD;NORD;CSRD;CBRD;KBRD;FFRD;OSRD,Castlegar;Quesnel;Grand Forks;Osoyoos;Penticton;West Kelowna;Kelowna;Prince George;Salmon Arm;Princeton;Vernon;Summerland;Lake Country;Midway;Sicamous;Oliver;Keremeos;Merritt;Peachland;Logan Lake,BG;ICH;IDF;PP;SBPS;SBS,,Native,Regularly occurring,, ,N,W,
Agonopsis vulsa,,Northern Spearnose Poacher,,F-AGVU,AFC4F02020,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Agonidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Albatrossia pectoralis,,Giant Grenadier,,F-ALPE,AFCMC05010,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Gadiformes,Macrouridae, , , , , ,,Native,Regularly occurring,, ,N,N,
Alepisaurus ferox,,Longnose Lancetfish,,F-ALFE,AFC8E01020,G5,24-Dec-17,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Aulopiformes,Alepisauridae, , , , , ,,Native,Regularly occurring,, ,N,N,
Alepocephalus tenebrosus,,California Slickhead,,F-ALTE,AFCHH02010,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Argentiniformes,Alepocephalidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Allocyttus folletti,,Oxeye Oreo,,F-ALFO,AFC1D01010,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Zeiformes,Oreosomatidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Allolumpenus hypochromus,,Y-prickleback,,F-ALHY,AFCSC04010,GNR,,SNR,,,NAR (May 1991), ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Stichaeidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Allosmerus elongatus,,Whitebait Smelt,,F-ALEL,AFCHB05010,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Osmeriformes,Osmeridae, , , , , ,,Native,Regularly occurring,, ,N,N,
Alopias vulpinus,,Thresher Shark,,F-ALVU,AFDDC01020,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,cartilaginous fishes,Species,Animalia,Craniata,Chondrichthyes,Lamniformes,Alopiidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Alosa sapidissima,,American Shad,,F-ALSA,AFCFA01060,G5,27-Dec-17,SNA,15-May-19,20-Jan-03, , ,Exotic, ,, ,,,,,,4 - Secure (2005),,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Clupeiformes,Clupeidae, ,1;2, , ,CDF;CWH;ICH;IDF;MS;SBS,,Exotic,Regularly occurring,, ,N,N,
Amblyraja badia,,Broad Skate,,F-AMBA,AFDFD01180,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,cartilaginous fishes,Species,Animalia,Craniata,Chondrichthyes,Rajiformes,Rajidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Ameiurus melas,,Black Bullhead,,F-AMME,AFCKA06030,G5,17-Aug-15,SNA,15-May-19,20-Jan-03, , ,Exotic, ,, ,,,,,,4 - Secure (2005),,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Siluriformes,Ictaluridae, ,4;8, , ,BG;CDF;CWH;ICH,,Exotic,Regularly occurring,, ,N,N,
Ameiurus nebulosus,,Brown Bullhead,,F-AMNE,AFCKA06050,G5,17-Aug-15,SNA,15-May-19,20-Jan-03, , ,Exotic, ,, ,,,,,,4 - Secure (2005),,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Siluriformes,Ictaluridae, ,1;2;4, , ,BG;CDF;CWH;ICH;IDF,,Exotic,Regularly occurring,, ,N,N,
Ammodytes hexapterus,,Pacific Sand Lance,,F-AMHE,AFCS601030,G5,19-Apr-17,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Ammodytidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Amphistichus rhodoterus,,Redtail Surfperch,,F-AMRH,AFCQK03030,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Embiotocidae, , , , , ,,Native,Regularly occurring,, ,N,N,
