Species Code,Element Code
F-ICBO,AFC4E32010
F-ICBU,AFC4E32020
F-ICFI,AFC4E32040
F-ICFM,AFC4E32050
F-ICTE,AFC4E32080
F-ICSP,AFC4E21050
F-ICEL,AFC7A04010
F-ICLO,AFCS406010
F-ICAE,AFCSQ01010
F-ICNA,AFCKA06040
F-IDAN,AFC7B08010
F-ISIS,AFCTB16090
F-ISOX,AFDDE03010
F-JOZO,AFC4E33010
F-KAPE,AFCS309010
F-LADI,AFDDE04010
F-LAJO,AFCVH04030
F-LAAY,AFBAA02030
F-LARC,AFBAA02090
F-LARC-01,AFBAA02092
F-LAGU,AFC2A01010
F-LELE,AFCQN21010
F-LEBI,AFCTB16080
F-LEPO,AFCTB24010
F-LEGI,AFCQB11030
F-LPMA,AFCQB11060
F-LEFR,AFC4F14010
F-LEMA,AFCSC12030
F-LEAR,AFC4E03010
F-LERI,AFC8D03010
F-LESC,AFCHF01020
F-LEST,AFCHF01010
F-LIAS,AFCTB16020
F-LICA,AFC4G07020
F-LICY,AFC4G07040
F-LIDE,AFC4G07060
F-LIFL,AFC4G07070
F-LIFU,AFC4G07080
F-LIGI,AFC4G07050
F-LIGR,AFC4G07180
F-LIMU,AFC4G07130
F-LIPU,AFC4G07140
F-LIRU,AFC4G07150
F-LINA,AFC4G20010
F-LIOC,AFCHF03010
F-LOLO,AFCMA01010
F-LOLO-01,AFCMA01011
F-LULO,AFCSC11010
F-LUSA,AFCSC12050
F-LUIM,AFCSN01010
F-LYCA,AFCMG04040
F-LYCR,AFCMG04020
F-LYJO,AFCMG04030
F-LYMI,AFCMG04050
F-LYDE,AFCMG05060
F-LYEN,AFCMG05040
F-LYFI,AFCMG05010
F-LYMA,AFCMG05020
F-LYPA,AFCMG05050
F-LYPR,AFCMG05030
F-LYPS,AFCS805040
F-LYBR,AFCS806010
F-LYCO,AFCS806160
F-LYDI,AFCS806020
F-LYPC,AFCMG07010
F-LYPL,AFCS806050
F-LYEX,AFCTB04020
F-MAMI,AFCHG01010
F-MAAT,AFC8D01010
F-MAKI,AFC4E36010
F-MAZO,AFC4E36020
F-MAVI,AFCHB06010
F-MANA,AFCJB54020
F-MAAR,AFCHK02010
F-MECA,AFCRN04010
F-MELU,AFC9C01010
F-MEZU,AFCMJ01010
F-MEPA,AFCS811020
F-MEPR,AFCMA10020
F-MIPR,AFCMA02020
F-MIDO,AFCQB12020
F-MISA,AFCQB12050
F-MIPA,AFCTB14010
F-MIAN,AFCJD01010
F-MOMO,AFC3F01020
F-MYCA,AFCJB24010
F-MYPO,AFC4E04070
F-MYSC,AFC4E04100
F-NARE,AFCVH04010
F-NARI,AFCVH13010
F-NACA,AFCHJ01010
F-NADU,AFCQZ07010
F-NAOC,AFC4E05010
F-NARO,AFC4E05030
F-NEPE,AFC4G14010
F-NESC,AFCEJ01010
F-NEMA,AFCVJ01010
F-NEST,AFCMC02030
F-NOCH,AFCUA01010
F-NOCE,AFDBB02010
F-NOJA,AFCVH05040
F-NOAT,AFCJB28120
F-NOHU,AFCJB28550
F-ODTR,AFC4F10010
F-OLMA,AFC4E06010
F-OLRI,AFC4E06020
F-OLSN,AFC4E06040
F-ONCL,AFCHA02080
F-ONCL-CL,AFCHA0208A
F-ONCL-LE,AFCHA02088
F-ONGO,AFCHA02010
F-ONKE,AFCHA02020
F-ONKI,AFCHA02030
F-ONKI-07,AFCHA02037
F-ONMY,AFCHA02090
F-ONMY-40,AFCHA0213F
F-ONMY-46,AFCHA0213M
F-ONMY-47,AFCHA0213N
F-ONNE,AFCHA02040
F-ONNE-10,AFCHA0204B
F-ONNE-11,AFCHA0204C
F-ONNE-12,AFCHA0204D
F-ONNE-13,AFCHA0204E
F-ONNE-14,AFCHA0204F
F-ONNE-15,AFCHA0204G
F-ONNE-16,AFCHA0204H
F-ONNE-17,AFCHA0204J
F-ONNE-18,AFCHA0204K
F-ONNE-19,AFCHA0204L
F-ONNE-20,AFCHA0204M
F-ONNE-21,AFCHA0204N
F-ONNE-22,AFCHA0204P
F-ONNE-23,AFCHA0204Q
F-ONNE-24,AFCHA0204R
F-ONNE-25,AFCHA0204S
F-ONNE-26,AFCHA0204T
F-ONNE-27,AFCHA0204U
F-ONNE-28,AFCHA0204V
F-ONNE-29,AFCHA0204W
F-ONNE-30,AFCHA0204X
F-ONNE-31,AFCHA0204Y
F-ONNE-07,AFCHA02048
F-ONNE-08,AFCHA02049
F-ONNE-09,AFCHA0204A
F-ONTS,AFCHA02050
F-ONBU,AFCYH02010
F-ONTH,AFCYH02020
F-OPEL,AFC4D02010
F-OPMI,AFC7B07010
F-OSDE,AFCHB02040
F-OSCA,AFC4G22010
F-OXPI,AFC4D03010
F-PABU,AFCMG03010
F-PAGY,AFCMG03020
F-PALE,AFCMG03030
F-PABA,AFC4F11010
F-PACE,AFC4G15040
F-PADE,AFC4G15010
F-PALA,AFC4G15050
F-PAME,AFC4G15080
F-PAPA,AFC4G15060
F-PARO,AFC4G15070
F-PAHO,AFC4E08010
F-PAVE,AFCTB16100
F-PESI,AFCS401030
F-PEFL,AFCQC03010
F-PEOM,AFCLC01010
F-PHFU,AFCQK09020
F-PHCL,AFCQR01020
F-PHLA,AFCQR01070
F-PHOR,AFCQR01010
F-PHSC,AFCQR01090
F-PHCH,AFCSC13010
F-PIPR,AFCJB32020
F-PLST,AFCTB01010
F-PLGR,AFCJB57010
F-PLEV,AFCSC15010
F-PLMO,AFC4D04010
F-PLCO,AFCTB17010
F-PLDE,AFCTB17020
F-POAC,AFC4F13010
F-POCH,AFCUA02010
F-PONI,AFCQB13020
F-PONO,AFCWA02020
F-PORO,AFCSC16010
F-POCR,AFC9C02010
F-PRGL,AFDDG05010
F-PRCO,AFCHA03020
F-PRCO-01,AFCHA03021
F-PRCO-03,AFCHA03023
F-PRCY,AFCHA03030
F-PRWI,AFCHA03060
F-PRCR,AFCVH06010
F-PRTH,AFCVH06020
F-PSME,AFCTB18010
F-PSMI,AFCHF02010
F-PSWH,AFCRR01020
F-PSPA,AFC4E10010
F-PSPH,AFC4E10030
F-PSSI,AFC4E10020
F-PTVI,AFDFE01060
F-PTGO,AFCSE01010
F-PTOR,AFCJB35030
F-PUPU,AFCPA04010
F-RAAS,AFC4E11010
F-RABO,AFC4E11020
F-RABI,AFDFD01020
F-RARH,AFDFD01120
F-REHI,AFCTB20010
F-REAU,AFCSZ03010
F-RHVA,AFCQK10020
F-RHRI,AFC4E12010
F-RHCA,AFCJB37020
F-RHCA-CH,AFCJB37110
F-RHFA,AFCJB37040
F-RHOS,AFCJB37050
F-RHUM,AFCJB37120
F-RHNI,AFCQN15060
F-RHAT,AFC4G23010
F-RIBA,AFCJB39010
F-RIMU,AFCXA03020
F-ROJO,AFCRY03010
F-RUME,AFC4E40020
F-SAAB,AFCHK03010
F-SASA,AFCHA04060
F-SATR,AFCHA04070
F-SACO,AFCHA05020
F-SACO-10,AFCHA05122
F-SACO-12,AFCHA05124
F-SACO-11,AFCHA0502N
F-SACO-06,AFCHA0502Q
F-SAFO,AFCHA05030
F-SAMA,AFCHA05040
F-SAMA-02,AFCHA05042
F-SAMA-01,AFCHA05041
F-SANA,AFCHA05050
F-SAVI,AFCQC05020
F-SACH,AFCS306010
F-SASG,AFCFA10010
F-SCJA,AFCS307010
F-SCMI,AFC9C03010
F-SCHA,AFC8H01010
F-SCMA,AFC4E13010
F-SCCE,AFCSG01010
F-SEAL,AFC4A06010
F-SEAT,AFC4A06020
F-SEAU,AFC4A06040
F-SEAR,AFC4A06050
F-SEBA,AFC4A06060
F-SEBO,AFC4A06070
